#,Question,Category,Level,Tags,Time,Answer Choices,IsAnswer
0,"What is printed to console.log?

Promise.resolve({
    name: ""Jane""
}).then(function (o) {
    o.job = ""Heiress"";
    return o;
}, function (o) {
    o.job = ""Slob"";
    return o;
}).then(function (o) {
    o.school = ""Uni"";
    return o;
}, function (o) {
    o.school = ""Elementary"";
    return o;
}).then(function (o) {
    console.log(o.name, o.job, o.school);
}, function (o) {
    console.log(o.name, o.job, o.school);
});",Practical,Advanced,"JavaScript, ECMAScript 6, Promises",2 Minutes,Jane Heiress Uni,Y
,,,,,,Jane Heiress Elementary,N
,,,,,,Jane Slob Uni,N
,,,,,,Jane Slob Elementary,N
1,"What is printed to console.log?

Promise.reject({
    name: ""Jane""
}).then(function (o) {
    o.job = ""Heiress"";
    return o;
}, function (o) {
    o.job = ""Slob"";
    return o;
}).then(function (o) {
    o.school = ""Uni"";
    return o;
}, function (o) {
    o.school = ""Elementary"";
    return o;
}).then(function (o) {
    console.log(o.name, o.job, o.school);
}, function (o) {
    console.log(o.name, o.job, o.school);
});",Practical,Advanced,"JavaScript, ECMAScript 6, Promises",2 Minutes,Jane Slob Uni,Y
,,,,,,Jane Heiress Uni,N
,,,,,,Jane Heiress Elementary,N
,,,,,,Jane Slob Elementary,N
2,"What is printed to console.log?

Promise.reject({
    name: ""Jane""
}).then(function (o) {
    o.job = ""Heiress"";
    return o;
}, function (o) {
    o.job = ""Slob"";
    return Promise.reject(o);
}).then(function (o) {
    o.school = ""Uni"";
    return o;
}, function (o) {
    o.school = ""Elementary"";
    return o;
}).then(function (o) {
    console.log(o.name, o.job, o.school);
}, function (o) {
    console.log(o.name, o.job, o.school);
});",Practical,Advanced,"JavaScript, ECMAScript 6, Promises",2 Minutes,Jane Slob Elementary,Y
,,,,,,Jane Slob Uni,N
,,,,,,Jane Heiress Uni,N
,,,,,,Jane Heiress Elementary,N
3,"What is printed to console.log?

Promise.resolve({
    name: ""Jane""
}).then(function (o) {
    o.job = ""Heiress"";
    return Promise.reject(o);
}).then(function (o) {
    o.school = ""Uni"";
    return o;
}).then(function(o) {
    o.pet = ""Fido"";
}).catch(function(o) {
    return o;
}).then(function (o) {
    console.log(o.name, o.job, o.school, o.pet);
}, function (o) {
    console.log(o.name, o.job);
});",Practical,Advanced,"JavaScript, ECMAScript 6, Promises",2 Minutes,Jane Heiress undefined undefined,Y
,,,,,,Jane Heiress Uni Fido,N
,,,,,,Jane Heiress Uni undefined,N
,,,,,,Jane Heiress,N
4,"What is printed to console.log?

Promise.resolve({
    name: ""Jane""
}).then(function (o) {
    o.job = ""Heiress"";
    return Promise.reject(o);
}).then(function (o) {
    o.school = ""Uni"";
    return o;
}).then(function(o) {
    o.pet = ""Fido"";
    return o;
}).catch(function(o) {
    throw o;
}).then(function (o) {
    console.log(o.name, o.job, o.school, o.pet);
}, function (o) {
    console.log(o.name, o.job);
});",Practical,Advanced,"JavaScript, ECMAScript 6, Promises",2 Minutes,Jane Heiress,Y
,,,,,,Jane Heiress undefined undefined,N
,,,,,,Jane Heiress Uni Fido,N
,,,,,,Jane Heiress Uni undefined,N
5,"What is printed to console.log?

var p = Promise.resolve({
    name: ""Jane""
}).then(function (o) {
    o = o || {}
    o.job = ""Heiress"";
}).then(function (o) {
    o = o || {}
    o.school = ""Uni"";
}).then(function (o) {
    o = o || {};
    console.log(o.name, o.job, o.school);
});",Practical,Advanced,"JavaScript, ECMAScript 6, Promises",2 Minutes,undefined undefined undefined,Y
,,,,,,Jane Heiress undefined,N
,,,,,,Jane Heiress Uni,N
,,,,,,Jane undefined undefined,N
6,"What is printed to console.log?

var p = Promise.resolve({
    name: ""Jane""
});

p.then(function (o) {
    o = o || {}
    o.job = ""Heiress"";
});

p.then(function (o) {
    o = o || {}
    o.school = ""Uni"";
});

p.then(function (o) {
    o = o || {};
    console.log(o.name, o.job, o.school);
});",Practical,Advanced,"JavaScript, ECMAScript 6, Promises",2 Minutes,Jane Heiress Uni,Y
,,,,,,undefined undefined undefined,N
,,,,,,Jane Heiress undefined,N
,,,,,,Jane undefined undefined,N
7,"What is printed to console.log?

var janeGenerator = function () {
    var p = new Promise(function (resolve, reject) {
        setTimeout(function () {
            if (Math.random() > 0.5) {
                resolve({
                    name: ""Jane""
                })
            } else {
                reject({
                    name: ""Jane""
                })
            }
        }, 1000);
    });
    return p;
};

janeGenerator().then(function (o) {
    o.job = ""CEO"";
    return o;
}, function (o) {
    o.job = ""VP"";
    return o;
}).then(function (o) {
    o.house = ""Big"";
    return o;
}).then(function (o) {
    console.log(o.name, o.job, o.house);
}).catch(function (o) {
    console.log(o.name, o.job);
});",Practical,Advanced,"JavaScript, ECMAScript 6, Promises",2 Minutes,Jane CEO Big or Jane VP Big,Y
,,,,,,Jane CEO or Jane VP,N
,,,,,,Jane undefined,N
,,,,,,Jane CEO undefined or Jane VP undefined,N
8,"Assuming operation in a browser, a standardized and dev friendly API, and a click is made to `#button` in the HTML, what is printed to console.log?

<html>
    <head>
        <title>Example<title>
    </head>
    <body>
        <div>
            <button id=""button"">Click</button>
        </div>
    <script>
document.body.addEventListener(""click"", function(e) {
    console.log(e.target.tagName);
});
    </script>
    </body>
</html>",Practical,Advanced,"JavaScript, Browser",2 Minutes,BUTTON,Y
,,,,,,DIV,N
,,,,,,BODY,N
,,,,,,undefined,N
9,"Assuming operation in a browser, a standardized and dev friendly API, and a click is made to `#button` in the HTML, what is printed to console.log?

<html>
    <head>
        <title>Example<title>
    </head>
    <body>
        <div>
            <button id=""button"">Click</button>
        </div>
    <script>
document.body.addEventListener(""click"", function (e) {
    console.log(e.target.tagName);
});
document.querySelector(""#button"").addEventListener(""click"", function (e) {
    e.stopPropagation();
    console.log(e.target.tagName);
});
    </script>
    </body>
</html>",Practical,Advanced,"JavaScript, Browser",2 Minutes,BUTTON,Y
,,,,,,BUTTON BUTTON,N
,,,,,,BUTTON BODY,N
,,,,,,undefined,N
10,"Assuming operation in a browser, a standardized and dev friendly API, and a click is made to `#button` in the HTML, what will happen?

<html>
    <head>
        <title>Example<title>
    </head>
    <body>
        <div>
            <button id=""button"">Click</button>
        </div>
    <script>
document.body.addEventListener(""click"", function (e) {
    var parent = e.target.parentNode;
    parent.removeChild(e.target);
    parent.innerHTML = ""Something"";
    var el = document.createElement(""div"");
    el.innerHTML = ""Something else"";
    parent.parentNode.insertBefore(el, parent.parentNode.firstChild);
});
    </script>
    </body>
</html>",Practical,Advanced,"JavaScript, Browser",2 Minutes,"The button will be removed and the page will say ""Something Else"" followed by ""Something"".",Y
,,,,,,"The button will be removed and the page will say ""Something"" followed by ""Something Else"".",N
,,,,,,"The page will have a ""Click"" button and will say ""Something Else"" followed by ""Something"".",N
,,,,,,"The page will have a ""Click"" button and will say ""Something"" followed by ""Something Else"".",N
11,"What is printed to console.log?

class Animal {
    constructor(name) {
        this.name = name || ""Frida"";
    }
    speak() {
        return this.name;
    }
}
class Cat extends Animal {
    speak() {
        return super.speak() + "" says meow!"";
    }
}
var k = new Cat(""Khalo"");
console.log(k.speak());",Practical,Advanced,"JavaScript, ECMAScript 6",2 Minutes,Kahlo says meow!,Y
,,,,,,Frida says meow!,N
,,,,,,undefined says meow!,N
,,,,,,Error is thrown,N
12,"What is printed to console.log?

class Animal {
    constructor(name) {
        this.name = name || ""Frida"";
    }
    speak() {
        return this.name;
    }
}
class Cat extends Animal {
    speak() {
        return super.speak() + "" says meow!"";
    }
}
var k = new Cat(""Khalo"");
k.speak = function () {
    return super.speak() + "" says woof!"";
};
console.log(k.speak());",Practical,Advanced,"JavaScript, ECMAScript 6",2 Minutes,Error is thrown,Y
,,,,,,Kahlo says meow!,N
,,,,,,Kahlo says woof!,N
,,,,,,Frida says woof!,N
13,"What is printed to console.log?

class Animal {
    constructor(name) {
        this.name = name || ""Frida"";
    }
    speak() {
        return this.name;
    }
}
class Cat extends Animal {
    speak() {
        return super.speak() + "" says meow!"";
    }
}
Cat.prototype.speak = function () {
    return Animal.prototype.speak.call(this) + "" says woof!"";
};
var k = new Cat(""Khalo"");
console.log(k.speak());",Practical,Advanced,"JavaScript, ECMAScript 6",2 Minutes,Kahlo says woof!,Y
,,,,,,Kahlo says meow!,N
,,,,,,Frida says woof!,N
,,,,,,Error is thrown,N
14,"What is printed to console.log?

class Animal {
    constructor(name) {
        this.name = name || ""Frida"";
    }
    speak() {
        return this.name;
    }
}
class Cat extends Animal {
    speak() {
        return super.speak() + "" says meow!"";
    }
}
class ThunderCat extends Cat {
    speak() {
        return super.speak() + "" says THUNDER THUNDER THUNDER!"";
    }
}
var k = new ThunderCat(""Khalo"");
console.log(k.speak());",Practical,Advanced,"JavaScript, ECMAScript 6",2 Minutes,Khalo says meow! says THUNDER THUNDER THUNDER!,Y
,,,,,,Kahlo says meow!,N
,,,,,,Kahlo says THUNDER THUNDER THUNDER!,N
,,,,,,Error is thrown,N
15,"What is printed to console.log?

class Animal {
    constructor(name) {
        this.name = name || ""Frida"";
    }
    speak() {
        return this.name;
    }
}
class Cat extends Animal {
    speak() {
        return super.speak() + "" says meow!"";
    }
}
class ThunderCat extends Cat {
    speak() {
        return super.speak() + "" says THUNDER THUNDER THUNDER!"";
    }
}
var k = new ThunderCat(""Khalo"");
console.log(k instanceof ThunderCat,
    k instanceof Cat,
    k instanceof Animal,
    k instanceof Object,
    k instanceof Function);",Practical,Advanced,"JavaScript, ECMAScript 6",2 Minutes,true true true true false,Y
,,,,,,true true true true true,N
,,,,,,true false false false false,N
,,,,,,true false false true false,N
16,"What is printed to console.log?

class Animal {
    constructor(name) {
        this[Symbol(""name"")] = name || ""Frida"";
    }
    speak() {
        return this[Symbol(""name"")];
    }
}
var a = new Animal(""Dali"");
console.log(a.speak());",Practical,Advanced,JavaScript,2 Minutes,undefined,Y
,,,,,,Frida,N
,,,,,,Dali,N
,,,,,,Error is thrown,N
17,"What is printed to console.log?

class Animal {
    constructor(name) {
        this._name = Symbol(""name"");
        this[this._name] = name || ""Frida"";
    }
    speak() {
        return this[this._name];
    }
}
var a = new Animal(""Dali"");
console.log(a.speak(), a[Symbol(""name"")]);",Practical,Advanced,"JavaScript, ECMAScript 6",2 Minutes,Dali undefined,Y
,,,,,,Frida undefined,N
,,,,,,undefined undefined,N
,,,,,,Error is thrown,N
18,"What is printed to console.log?

var sum = function () {
    var args = Array.prototype.slice.call(arguments);
    return args.reduce(function (a, b) {
        return a + b;
    }, 0);
};
var a = sum.bind(null, 1, 2, 3);
var b = sum.bind(null, 2, 4, 6);
console.log(a(1, 2, 3) + b(2, 4, 6));",Practical,Advanced,JavaScript,2 Minutes,36,Y
,,,,,,18,N
,,,,,,12 24,N
,,,,,,Error is thrown,N
19,"What is printed to console.log?

var f = function (a) {
    return a;
};
var g = f.bind(null, 2);
var h = g.bind(null, 4);
console.log(f(1), g(1), h(1));",Practical,Advanced,JavaScript,2 Minutes,1 2 2,Y
,,,,,,1 2 4,N
,,,,,,1 1 1,N
,,,,,,Error is thrown,N
20,"What is printed to console.log?

var storage = function () {
    var cache = {};
    return {
        get: function (key) {
            return cache[key];
        },
        set: function (key, val) {
            cache[key] = val;
        }
    };
};
var s = storage();
s.cache = {
    name: ""Florence""
};
s.set(""name"", ""Katie"");
console.log(s.get(""name""));",Practical,Advanced,JavaScript,2 Minutes,Katie,Y
,,,,,,Florence,N
,,,,,,undefined,N
,,,,,,Error is thrown,N
21,"What is printed to console.log?

var storage = function () {
    var cache = {};
    return {
        get: function (key) {
            return cache[key];
        },
        set: function (key, val) {
            cache[key] = val;
        }
    };
};
var s = storage();
s.cache = {
    name: ""Florence""
};
s.get = function (key) {
    return this.cache[key];
};
s.set(""name"", ""Katie"");
console.log(s.get(""name""));",Practical,Advanced,JavaScript,2 Minutes,Florence,Y
,,,,,,Katie,N
,,,,,,undefined,N
,,,,,,Error is thrown,N
22,"What is printed to console.log?

var storage = function () {
    var cache = {
        name: ""Florence""
    };
    return {
        get: function (key) {
            return cache[key];
        },
        getterProxy: function (f) {
            return f(cache);
        },
        set: function (key, val) {
            cache[key] = val;
        }
    };
};
var s = storage();
s.set(""name"", ""Katie"");
var f = function () {
    return cache[name];
};
var name = s.getterProxy(f);
console.log(name);",Practical,Advanced,JavaScript,2 Minutes,Error is thrown,Y
,,,,,,Florence,N
,,,,,,Katie,N
,,,,,,undefined,N
